n,type,load,elast
284,"S",97.08869,.5342486
285,"S",95.83253,.2801
286,"S",112.7045,.6206861
287,"S",91.5388,.2918356
288,"S",107.1606,.6722072
289,"S",97.43681,.2597654
290,"S",107.8695,.4915124
291,"S",100.3205,.4539405
292,"S",109.7036,.3466128
293,"S",98.45568,.1222851
294,"S",97.81871,.0836628
295,"S",108.8656,.4606436
296,"S",90.9903,.3644161
297,"S",100.1379,.586834
298,"S",99.47846,.3476004
299,"S",100.5696,.5056902
300,"S",89.4397,.6138062
301,"S",91.33824,.2461834
302,"S",95.92889,.5019704
303,"S",104.2285,.6282369
304,"S",97.64908,.5736681
305,"S",99.4433,.7754185
306,"S",104.3006,.6296223
307,"S",108.9636,.5553487
308,"S",97.53284,.8032615
309,"S",93.14624,.6928141
310,"S",100.4044,.3132491
311,"S",87.71899,.2781027
312,"S",101.0333,.5673481
313,"S",99.12409,.5837849
314,"S",97.17151,.5955651
315,"S",92.26802,.7251536
316,"S",99.77785,.8107277
317,"S",103.8521,.3008882
318,"S",96.14126,.4352517
319,"S",104.1808,.644986
320,"S",99.17672,.8823529
321,"S",89.8778,.1845296
322,"S",96.18758,.156185
323,"S",114.6355,.7835004
324,"S",96.94351,.3748074
325,"S",102.6833,.3342963
326,"S",101.2551,.5781747
327,"S",98.88723,.522305
328,"S",108.6702,.8690178
329,"S",92.91254,.6704916
330,"S",87.73735,.3161075
331,"S",95.64265,.1526675
332,"S",112.7604,.9973512
333,"S",97.28499,.4057861
334,"S",94.77583,.662128
335,"S",118.9617,1.44857
336,"S",99.92408,.4378572
337,"S",98.53749,1.358577
338,"S",100.8863,.3597134
339,"S",104.4835,.4534609
340,"S",102.2669,.8475339
341,"S",108.7268,.7734746
342,"S",92.88255,.1948377
343,"S",103.3994,.4791613
344,"S",88.97079,.3567996
345,"S",106.1296,.9694919
346,"S",94.56043,.2371849
347,"S",96.73294,.3882295
348,"S",100.8376,.5217305
349,"S",110.1715,.7395581
350,"S",107.1877,.6841642
351,"S",104.5421,.8101956
352,"S",108.9179,.7624405
353,"S",91.10954,.6948283
354,"S",91.07442,.4812611
355,"S",103.0245,.8902934
356,"S",97.66248,.7962465
357,"S",94.4858,.5004823
358,"S",104.9181,.5797802
359,"S",86.8185,.2435678
360,"S",106.4442,.4959067
361,"S",103.5662,.5775674
362,"S",95.57172,.4244051
363,"S",109.5704,.7917619
364,"S",99.23148,.6247658
365,"S",107.7955,.4545593
366,"S",92.02419,.5308153
367,"S",87.65628,.3357346
368,"S",97.51898,.5376237
369,"S",96.63857,.3280492
370,"S",102.356,.2748165
371,"S",100.4729,.5187346
372,"S",106.5274,.6744405
373,"S",87.41936,.14879
374,"S",105.0922,.9029573
375,"S",101.5879,.4243697
376,"S",115.105,.346267
377,"S",104.94,.5266007
378,"S",100.8344,.7555858
379,"S",98.34866,.6312339
380,"S",90.75984,.2352256
381,"S",98.61736,.2833602
382,"S",93.79714,.433512
383,"S",114.9896,.7223606
384,"S",107.2273,.5990722
385,"S",86.71091,.6336319
386,"S",98.34617,.4321223
387,"S",95.50903,.4137177
388,"S",102.684,.4658469
389,"S",101.7724,.3977626
390,"S",97.40766,.533675
391,"S",105.661,.4210159
392,"S",111.195,.8616434
393,"S",111.2594,.5492873
394,"S",104.7137,.5808535
395,"S",92.04322,.4435499
396,"S",93.60033,.4936984
397,"S",96.12597,.2097486
398,"S",101.4422,.46955
399,"S",93.54427,.7774458
400,"S",111.9013,.5666628
401,"S",94.21888,.3828521
402,"S",103.6355,.509739
403,"S",104.7378,.7239447
404,"S",99.55087,.6666343
405,"S",90.69224,.6715984
406,"S",99.99139,.3741495
407,"S",100.8989,.5510784
408,"S",107.8586,.6264288
409,"S",99.14374,.6360685
410,"S",97.4689,.4397337
411,"S",99.31623,.3537649
412,"S",101.0086,.3013033
413,"S",107.6008,.4037971
414,"S",108.649,.5397415
415,"S",90.79996,.5393981
416,"S",93.4399,.1297317
417,"S",108.7412,.3767785
418,"S",105.2451,.4323915
419,"S",102.9833,.6389122
420,"S",89.9445,.2890978
421,"S",109.519,.6218894
422,"S",97.67848,.2291414
423,"S",104.2196,.7800362
424,"S",108.3457,.7110403
425,"S",103.0599,.4274099
426,"S",94.1937,.4581688
427,"S",106.0814,.2160553
428,"S",92.79323,.4673722
429,"S",119.4893,.5380963
430,"S",104.6055,.4412268
431,"S",105.5307,.2995746
432,"S",100.3712,.8231769
433,"S",100.1256,.2567524
434,"S",109.7674,.6418665
435,"S",97.23013,.3956779
436,"S",88.5589,.2758819
437,"S",103.0903,.5881683
438,"S",98.69443,.6905487
439,"S",94.73508,.4364701
440,"S",109.728,.6811752
441,"S",100.8374,.6244074
442,"S",106.6726,.5796964
443,"S",108.3865,.5880818
444,"S",103.6245,.1593222
445,"S",106.7035,.7571653
446,"S",97.12769,.2850533
447,"S",90.43812,.4512433
448,"S",112.2795,.567026
449,"S",104.2183,.5350536
450,"S",93.88596,.1361224
451,"S",95.49239,.4047065
452,"S",99.55408,.3231107
453,"S",110.5898,.7546182
454,"S",90.61639,.419312
455,"S",107.4779,.7132245
456,"S",108.2598,.4398955
457,"S",100.2565,.5137302
458,"S",93.01759,.2685601
459,"S",111.618,.7919739
460,"S",97.85654,.2760348
461,"S",93.50132,.1262278
462,"S",101.9977,.1169524
463,"S",100.5875,.4457808
464,"S",98.55033,.3475282
465,"S",89.96597,.801213
466,"S",108.1823,.937803
467,"S",98.84816,.4495853
468,"S",100.0769,.2261242
469,"S",103.0959,.4927883
470,"S",90.33557,.6328718
471,"S",92.67295,.6946428
472,"S",99.29185,.4020875
473,"S",95.48274,.5304358
474,"S",105.7505,.5508062
475,"S",107.0276,.3706414
476,"S",105.8362,.5573739
477,"S",99.26281,.8981755
478,"S",97.01065,.4190768
479,"S",97.21545,.2071894
480,"S",96.84891,.3057678
481,"S",96.42296,.1637167
482,"S",117.1293,.8953933
483,"S",106.9803,.3965389
484,"S",101.1408,.7438492
485,"S",106.8533,.101958
486,"S",101.0759,.5955567
487,"S",99.05379,.5114133
488,"S",114.8126,.7526966
489,"S",83.48872,.1422296
490,"S",97.86288,.8292027
491,"S",107.9493,.3811611
492,"S",90.37147,.6549886
493,"S",107.4673,.4652077
494,"S",98.12477,.2944283
495,"S",102.5337,.4832732
496,"S",94.06061,.4718576
497,"S",94.11342,.3788753
498,"S",115.5154,.594629
499,"S",106.5874,.3684826
500,"S",100.2734,.8638244
501,"S",96.34776,.4581193
502,"S",107.4161,.6474788
503,"S",99.24258,.3535709
504,"S",94.10382,.503585
505,"S",92.13226,.32829
506,"S",94.12692,.6171678
507,"S",101.5327,.7506738
508,"S",96.84306,.2647257
509,"S",106.0142,1.104732
510,"S",98.36526,.5242615
511,"S",116.0442,.5588287
512,"S",105.3902,.6629829
513,"S",102.9356,.4710453
514,"S",96.20201,.3339638
515,"S",99.82367,.6665246
516,"S",100.3451,.4987088
517,"S",99.49312,.2860383
518,"S",106.8218,.5133316
519,"S",97.99879,.4717399
520,"S",92.69075,.3554356
521,"S",107.4897,.5726323
522,"S",98.2293,.4225103
523,"S",104.3872,.3576463
524,"S",98.37316,.4009584
525,"S",100.9255,.3335669
526,"S",92.72609,.6639013
527,"S",96.31805,.1561688
528,"S",116.0854,1.055894
529,"S",94.31345,.8585489
530,"S",102.3107,.4881314
531,"S",99.59859,.3764268
532,"S",93.97725,.5331902
533,"S",97.13811,.0415719
534,"S",105.6404,.5124905
535,"S",99.7422,.4156944
536,"S",97.69833,.3492088
537,"S",108.9147,.5654196
538,"S",91.5152,.7489611
539,"S",105.0206,.2031144
540,"S",105.1057,.7530398
541,"S",105.0494,.2707675
542,"S",109.0685,.3873692
543,"S",98.09418,.685327
544,"S",106.5219,.6742622
545,"S",115.4691,.6910088
546,"S",106.4388,.7042308
547,"S",95.17797,.7304529
548,"S",107.5718,.592002
549,"S",100.9142,.1467584
550,"S",87.33882,.5978154
551,"S",106.1236,.3451519
552,"S",93.56805,.3208757
553,"S",92.84628,.0780377
554,"S",104.4633,.7139633
555,"S",90.08614,.2404893
556,"S",95.81461,.6892096
557,"S",93.63755,.4389135
558,"S",100.8783,.0638481
559,"S",94.45967,.6197767
560,"S",90.29853,.5728477
561,"S",103.169,.9544051
562,"S",105.2858,.5814859
563,"S",105.6049,.5932976
564,"S",94.42931,.38245
565,"S",101.7937,.3830747
566,"S",102.1561,.5707546
567,"S",90.09407,.2691958
568,"S",99.07458,.4926284
569,"S",89.13556,.5598755
570,"S",107.3166,.1489228
571,"S",91.13762,.5598606
572,"S",98.21536,.7398822
573,"S",98.00927,.4867578
574,"S",96.69799,.0886245
575,"S",90.79656,.5373561
576,"S",108.3827,.5684747
577,"S",110.0215,.6102369
578,"S",99.07153,.438029
579,"S",96.3716,.6366419
580,"S",99.72514,.4356331
581,"S",97.71806,.1203239
582,"S",108.9025,.5944319
583,"S",106.0029,.579215
584,"S",105.9956,.4888985
585,"S",97.66653,.5157719
586,"S",106.8846,.7457739
587,"S",113.153,.9719844
588,"S",100.9861,.1689094
589,"S",99.33264,.4878331
590,"S",93.03946,.7768767
591,"S",94.28553,.6466767
592,"S",100.0948,.3820278
593,"S",103.2762,.7443868
594,"S",97.09794,.7988039
595,"S",87.65091,.5221437
596,"S",111.5927,.3390504
597,"S",91.59267,.5141098
598,"S",96.54658,.5032852
599,"S",109.2904,.5086423
600,"S",101.1898,.439531
601,"S",111.9448,1.001422
602,"S",99.00304,.53455
603,"S",97.40833,.6664882
604,"S",100.5552,.5198191
605,"S",105.554,.6341373
606,"S",105.0798,.4908912
607,"S",90.18735,.4631968
608,"S",100.4169,.3208248
609,"S",98.18877,.2435264
610,"S",96.94636,.5966039
611,"S",98.2398,.3871334
612,"S",90.39697,.1943241
613,"S",109.4727,.236338
614,"S",106.7724,1.071461
615,"S",109.7651,.5505595
616,"S",108.8936,.524627
617,"S",104.5942,.2695431
618,"S",104.248,.7340463
619,"S",103.8173,.4602934
620,"S",97.20153,.499959
621,"S",98.76701,.5811696
622,"S",96.92393,.5550431
623,"S",90.64962,.401527
624,"S",95.59705,.5125001
625,"S",101.2842,.67777
626,"S",88.51876,.4163994
627,"S",101.3198,.587528
628,"S",104.7456,.5814227
629,"S",96.31949,.3433658
630,"S",95.20708,.3425443
631,"S",107.1634,.4898999
632,"S",97.92408,.4898142
633,"S",92.69263,.3515649
634,"S",97.13771,.5963049
635,"S",101.9072,.4311005
636,"S",104.381,.5799297
637,"S",113.9506,.6364672
638,"S",89.01121,.4227415
639,"S",106.5354,.5164354
640,"S",92.49844,.4561687
641,"S",86.86201,.3533537
642,"S",105.9261,.9591807
643,"S",87.88473,.3320551
644,"S",98.01919,.6801295
645,"S",113.5109,.6719903
646,"S",98.53985,.8871558
647,"S",100.763,.412309
648,"S",98.98592,.4082927
649,"S",98.72122,.6600727
650,"S",110.176,.5482023
651,"S",100.4495,.7330287
652,"S",106.5674,.8187953
653,"S",105.1096,.3422464
654,"S",86.79437,.4182599
655,"S",103.5369,.8460183
656,"S",94.96597,.5111472
657,"S",105.0101,.9320315
658,"S",104.192,.7540584
659,"S",96.15582,.2485225
660,"S",101.3067,.7138995
661,"S",109.0071,1.027721
662,"S",95.70448,.4140181
663,"S",103.147,.6082529
664,"S",97.84523,.393042
665,"S",100.0461,.4791494
666,"S",110.0807,1.161892
667,"S",94.14591,.1212082
668,"S",90.83974,.3116625
669,"S",100.5835,.3509036
670,"S",98.94717,.4003128
671,"S",91.44138,.4717896
672,"S",97.54757,.4811888
673,"S",102.6712,.708941
674,"S",102.9165,.5973004
675,"S",88.50547,.4960715
676,"S",104.4262,1.032979
677,"S",105.1421,.5680049
678,"S",100.8814,.381705
679,"S",111.3703,.9661345
680,"S",99.67797,.5937212
681,"S",117.5808,.7159745
682,"S",100.7951,.5059633
683,"S",99.62926,.6905172
684,"S",113.2847,.3303626
685,"S",93.71983,.5681621
686,"S",107.7217,.3631508
687,"S",90.52766,.3881887
688,"S",95.16682,.489448
689,"S",104.5541,.4310389
690,"S",107.67,.6114104
691,"S",101.6392,.4716316
692,"S",107.9681,.5927619
693,"S",103.3285,.2297026
694,"S",93.60365,.5789813
695,"S",98.44891,.9059906
696,"S",100.1822,.3224286
697,"S",92.82938,.6017329
698,"S",91.02636,.4330173
699,"S",101.344,.3964568
700,"S",103.0871,.7029296
701,"S",97.44016,.1604671
702,"S",109.859,.2254513
703,"S",102.7713,.3933635
704,"S",109.1428,.5430018
705,"S",96.9138,.4979142
706,"S",99.76314,.3309862
707,"S",102.44,1.046364
708,"S",87.74288,.1450235
709,"S",105.9097,.719411
710,"S",104.5757,.3253661
711,"S",97.02108,.224769
712,"S",106.4526,.8150441
713,"S",101.155,.7659928
714,"S",104.3328,.2397655
715,"S",91.61912,.4217041
716,"S",96.72361,.3337041
717,"S",87.73172,.5576382
718,"S",105.0463,.6066414
719,"S",93.45086,.1567354
720,"S",100.301,.7288499
721,"S",86.76437,.2242268
722,"S",99.7694,.6236082
723,"S",101.1283,.3799098
724,"S",102.5275,.3408884
725,"S",111.2506,.1642901
726,"S",99.49252,.3875955
727,"S",105.2232,.8033344
728,"S",98.91654,.4320011
729,"S",101.1864,.8371411
730,"S",91.17894,.6512268
731,"S",94.22926,.7061806
732,"S",106.0906,.5397679
733,"S",100.2781,.5171697
734,"S",103.7838,.5481024
735,"S",102.1047,.6588983
736,"S",105.5433,.2746974
737,"S",102.6915,.766574
738,"S",90.61218,.113115
739,"S",93.52827,.6011933
740,"S",92.32923,.88177
741,"S",93.75564,.5016486
742,"S",107.8541,.5855086
743,"S",104.8488,.2512047
744,"S",86.86684,.5216989
745,"S",91.47685,.449045
746,"S",111.9513,.3778062
747,"S",92.19099,.47027
748,"S",108.889,.5529819
749,"S",86.51093,.3964836
750,"S",107.561,.2872065
751,"S",89.69177,.5102699
752,"S",102.4013,.6902453
753,"S",95.99821,.62384
754,"S",92.71052,.4285352
755,"S",110.834,.3945686
756,"S",100.7379,.753513
757,"S",95.05746,.3268202
758,"S",93.41233,.5818618
759,"S",97.77558,.5566065
760,"S",114.2631,.4628432
761,"S",102.4987,.5291769
762,"S",99.64061,.289382
763,"S",106.8196,.5633046
764,"S",102.8383,.3350742
765,"S",105.5398,.6013574
766,"S",89.36639,.3230392
767,"S",104.7754,.3199049
768,"S",100.8434,.2934959
769,"S",90.12012,.2168341
770,"S",93.34177,.657401
771,"S",105.1368,.5021015
772,"S",93.1082,.4186206
773,"S",96.31613,.536973
774,"S",105.3856,.4218955
775,"S",91.80987,.9908563
776,"S",93.98495,.5184807
777,"S",105.5318,.4369087
778,"S",104.7038,.4813813
779,"S",98.9577,.7607174
780,"S",98.2499,.6017377
781,"S",98.13765,.6363808
782,"S",100.4296,.7850693
783,"S",110.0247,.1661819
784,"S",90.92471,.5803692
785,"S",102.1061,.6183075
786,"S",98.22421,.6828812
787,"S",93.54191,.4680422
788,"S",96.6625,.4261433
789,"S",93.94733,.2894295
790,"S",94.11776,.5884057
791,"S",105.2806,.3111463
792,"S",102.4806,.0884755
793,"S",102.4278,.6019231
794,"S",108.6368,.5993821
795,"S",97.09418,.3481235
796,"S",100.7095,.8621121
797,"S",98.06186,.3530084
798,"S",106.0175,.389795
799,"S",89.35304,.1698692
800,"S",90.08353,.5347971
801,"S",103.4394,.5273692
802,"S",93.27943,.5818485
803,"S",107.2269,.5163122
804,"S",96.87029,.5945243
805,"S",94.52207,.6225885
806,"S",105.0717,.4296777
807,"S",94.3205,.130181
808,"S",89.72385,.5014812
809,"S",100.3227,.4135995
810,"S",113.871,.7416621
811,"S",103.7021,.2527881
812,"S",97.45748,.3853589
813,"S",117.5015,.1236889
814,"S",102.9254,.7903336
815,"S",94.62892,.6423413
816,"S",114.9722,.2792834
817,"S",112.3255,.4126336
818,"S",108.0407,.663689
819,"S",107.195,.2153187
820,"S",93.33772,.8335095
821,"S",94.83649,.3251584
822,"S",96.64929,.6907779
823,"S",98.69871,.2480437
824,"S",106.8837,.7163757
825,"S",89.14391,.2678595
826,"S",96.21529,.4766355
827,"S",98.42458,.5097239
828,"S",95.74277,.4797403
829,"S",96.19035,.3151979
830,"S",97.07429,.6446177
831,"S",102.9023,.6510149
832,"S",100.7774,.6191596
833,"S",99.78822,.5882868
834,"S",96.26284,.1773564
835,"S",90.67919,.6264488
836,"S",94.08622,.2197002
837,"S",92.32887,.1812057
838,"S",117.1015,1.092993
839,"S",99.80576,.4962986
840,"S",110.4107,.4089179
841,"S",102.5042,.3302353
842,"S",115.9063,.9119184
843,"S",106.392,.6602741
844,"S",105.9194,.8832328
845,"S",92.05229,.4665729
846,"S",97.87907,.4029253
847,"S",92.71394,.8269855
848,"S",94.73845,.4415392
849,"S",105.9294,.1900295
850,"S",112.8579,.8163177
851,"S",95.36923,.2021914
852,"S",95.47834,.3474061
853,"S",109.2251,.4210057
854,"S",109.0136,.4147258
855,"S",105.0588,.2257653
856,"S",97.37893,.930561
857,"S",108.4223,.2615638
858,"S",105.0298,.7946014
859,"S",101.0485,.4154454
860,"S",103.3584,.8924705
861,"S",106.5466,.5730556
862,"S",96.2302,.2173804
863,"S",101.4818,.7579698
864,"S",89.96186,.2528561
865,"S",96.76347,.7283066
866,"S",102.8445,.665315
867,"S",98.29646,.7417682
868,"S",99.68855,.6247262
869,"S",97.53341,.5159183
870,"S",99.39816,.3741066
871,"S",98.41545,.3295778
872,"S",103.3163,.6555452
873,"S",87.4355,.0852416
874,"S",105.8973,.4683924
875,"S",99.90166,.654223
876,"S",100.3846,.8688286
877,"S",109.8988,.729585
878,"S",93.49657,.0948214
879,"S",100.1305,.3022019
880,"S",108.729,.6098062
881,"S",105.9577,.7810857
882,"S",110.2194,.8070691
883,"S",97.54969,.3390547
884,"S",90.09711,.2008435
885,"S",101.3687,.7578472
886,"S",101.7563,.2495662
887,"S",98.56743,.3333842
888,"S",103.5121,.771544
889,"S",108.5871,.839984
890,"S",113.6066,.7367546
891,"S",93.85674,.4471659
892,"S",92.5761,.2249939
893,"S",110.872,1.019262
894,"S",106.4274,.2768762
895,"S",98.26683,.7085486
896,"S",105.3254,.9827275
897,"S",109.9322,.379219
898,"S",104.0884,.1858589
899,"S",106.5023,.8412157
900,"S",101.3092,.650134
901,"S",87.95008,.3191575
902,"S",90.17815,.6345127
903,"S",93.79398,.2057183
904,"S",101.4048,.5129753
905,"S",97.11507,.1834902
906,"S",90.8623,.9187453
907,"S",96.1612,.2527469
908,"S",102.5577,.6486616
909,"S",101.5335,.5181322
910,"S",105.2838,.4241849
911,"S",99.61944,.7396289
912,"S",96.77831,.2786384
913,"S",98.30695,.6591778
914,"S",96.91151,.6960944
915,"S",84.49698,.0885302
916,"S",91.36456,.3599277
917,"S",95.96047,.6978714
918,"S",100.7962,.1601395
919,"S",103.2046,.150306
920,"S",85.64072,.5081344
921,"S",109.4309,.7963367
922,"S",105.9217,1.114986
923,"S",107.6445,.6487618
924,"S",105.0683,.5888219
925,"S",97.43694,.6818834
926,"S",96.44855,.6700333
927,"S",102.8469,.4756308
928,"S",110.9562,.3491578
929,"S",96.93011,.4614841
930,"S",99.44205,.500798
931,"S",94.96107,.2700737
932,"S",102.4787,.5820564
933,"S",106.6655,.5070961
934,"S",96.15783,.5395693
935,"S",98.8431,.143067
936,"S",90.72118,.1914272
937,"S",99.19488,.5718544
938,"S",114.3629,.4847938
939,"S",105.4472,.3367971
940,"S",106.5534,.6917669
941,"S",93.72203,.1471151
